Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

======================================================================
BENCHMARK SMART TOP DOWN
  repeticiones=5  paralelo=16  aceleracion=x60 (3600 ticks/s)  semilla=20260408
  salida=res://results_v2
======================================================================

[1/16] Configuracion base=base  (p20_m0.15_gaussiana_torneo_uniforme_aleatorio_deep)
  [vs_tipo_A] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_tipo_A] gen  1/25  mejor=   49.40  medio=   32.75
  [vs_tipo_A] gen  2/25  mejor=   30.95  medio=   10.41
  [vs_tipo_A] gen  3/25  mejor=   94.13  medio=   15.04
  [vs_tipo_A] gen  4/25  mejor=   55.63  medio=   31.54
  [vs_tipo_A] gen  5/25  mejor=   95.25  medio=   30.04
  [vs_tipo_A] gen  6/25  mejor=  190.07  medio=   32.96
  [vs_tipo_A] gen  7/25  mejor=   95.89  medio=   32.74
  [vs_tipo_A] gen  8/25  mejor=  159.14  medio=   41.19
  [vs_tipo_A] gen  9/25  mejor=  231.80  medio=   72.49
  [vs_tipo_A] gen 10/25  mejor=  134.65  medio=   52.26
  [vs_tipo_A] gen 11/25  mejor=  133.62  medio=   53.55
  [vs_tipo_A] gen 12/25  mejor=  194.17  medio=   78.45
  [vs_tipo_A] gen 13/25  mejor=  183.04  medio=   54.80
  [vs_tipo_A] gen 14/25  mejor=  223.25  medio=   41.06
  [vs_tipo_A] gen 15/25  mejor=  171.75  medio=   85.68
  [vs_tipo_A] gen 16/25  mejor=  117.95  medio=   53.68
  [vs_tipo_A] gen 17/25  mejor=  157.03  medio=   61.78
  [vs_tipo_A] gen 18/25  mejor=  241.12  medio=  109.25
  [vs_tipo_A] gen 19/25  mejor=  148.43  medio=   50.96
  [vs_tipo_A] gen 20/25  mejor=  145.53  medio=   56.27
  [vs_tipo_A] gen 21/25  mejor=  207.82  medio=   97.81
  [vs_tipo_A] gen 22/25  mejor=  128.82  medio=   61.13
  [vs_tipo_A] gen 23/25  mejor=  145.53  medio=   63.59
  [vs_tipo_A] gen 24/25  mejor=  231.29  medio=   87.52
  [vs_tipo_A] gen 25/25  mejor=  131.73  medio=   72.50
  [vs_tipo_B] sin sensores congelados
  [vs_tipo_B] gen  1/25  mejor=  184.95  medio=   21.44
  [vs_tipo_B] gen  2/25  mejor=  180.76  medio=   55.33
  [vs_tipo_B] gen  3/25  mejor=  175.93  medio=  104.67
  [vs_tipo_B] gen  4/25  mejor=  194.00  medio=   84.53
  [vs_tipo_B] gen  5/25  mejor=  180.76  medio=  100.51
  [vs_tipo_B] gen  6/25  mejor=  183.00  medio=  127.61
  [vs_tipo_B] gen  7/25  mejor=  197.10  medio=  115.65
  [vs_tipo_B] gen  8/25  mejor=  185.44  medio=  134.77
  [vs_tipo_B] gen  9/25  mejor=  183.00  medio=  117.27
  [vs_tipo_B] gen 10/25  mejor=  197.10  medio=  115.44
  [vs_tipo_B] gen 11/25  mejor=  185.44  medio=  119.50
  [vs_tipo_B] gen 12/25  mejor=  180.54  medio=  111.71
  [vs_tipo_B] gen 13/25  mejor=  189.34  medio=  125.68
  [vs_tipo_B] gen 14/25  mejor=  204.92  medio=  126.16
  [vs_tipo_B] gen 15/25  mejor=  189.44  medio=   99.09
  [vs_tipo_B] gen 16/25  mejor=  197.72  medio=   98.62
  [vs_tipo_B] gen 17/25  mejor=  194.83  medio=  131.64
  [vs_tipo_B] gen 18/25  mejor=  192.53  medio=  134.28
  [vs_tipo_B] gen 19/25  mejor=  201.80  medio=  134.09
  [vs_tipo_B] gen 20/25  mejor=  194.83  medio=  125.99
  [vs_tipo_B] gen 21/25  mejor=  191.46  medio=   94.43
  [vs_tipo_B] gen 22/25  mejor=  201.80  medio=   99.30
  [vs_tipo_B] gen 23/25  mejor=  198.65  medio=  124.80
  [vs_tipo_B] gen 24/25  mejor=  191.43  medio=  142.54
  [vs_tipo_B] gen 25/25  mejor=  201.80  medio=   91.52
  [vs_tipo_C] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_tipo_C] gen  1/25  mejor=  137.57  medio=   29.81
  [vs_tipo_C] gen  2/25  mejor=  130.54  medio=   57.65
  [vs_tipo_C] gen  3/25  mejor=  174.64  medio=   76.94
  [vs_tipo_C] gen  4/25  mejor=  190.74  medio=   60.54
  [vs_tipo_C] gen  5/25  mejor=  214.04  medio=   69.59
  [vs_tipo_C] gen  6/25  mejor=  221.99  medio=  105.35
  [vs_tipo_C] gen  7/25  mejor=  175.95  medio=   79.55
  [vs_tipo_C] gen  8/25  mejor=  174.73  medio=   98.20
  [vs_tipo_C] gen  9/25  mejor=  221.99  medio=  108.17
  [vs_tipo_C] gen 10/25  mejor=  175.95  medio=   83.69
  [vs_tipo_C] gen 11/25  mejor=  212.42  medio=   91.29
  [vs_tipo_C] gen 12/25  mejor=  189.98  medio=   81.95
  [vs_tipo_C] gen 13/25  mejor=  172.13  medio=   75.96
  [vs_tipo_C] gen 14/25  mejor=  212.42  medio=   90.01
  [vs_tipo_C] gen 15/25  mejor=  189.98  medio=   90.11
  [vs_tipo_C] gen 16/25  mejor=  172.13  medio=   66.75
  [vs_tipo_C] gen 17/25  mejor=  212.42  medio=  102.68
  [vs_tipo_C] gen 18/25  mejor=  194.13  medio=   78.69
  [vs_tipo_C] gen 19/25  mejor=  190.84  medio=   83.96
  [vs_tipo_C] gen 20/25  mejor=  212.42  medio=   87.56
  [vs_tipo_C] gen 21/25  mejor=  194.13  medio=  103.05
  [vs_tipo_C] gen 22/25  mejor=  190.84  medio=   79.95
  [vs_tipo_C] gen 23/25  mejor=  212.42  medio=  109.95
  [vs_tipo_C] gen 24/25  mejor=  211.60  medio=   96.36
  [vs_tipo_C] gen 25/25  mejor=  213.52  medio=   79.70
  [vs_humano_bot] sin sensores congelados
  [vs_humano_bot] gen  1/25  mejor=   17.86  medio=  -13.38
  [vs_humano_bot] gen  2/25  mejor=   39.47  medio=   -3.68
  [vs_humano_bot] gen  3/25  mejor=   70.48  medio=    2.39
  [vs_humano_bot] gen  4/25  mejor=   45.28  medio=    2.22
  [vs_humano_bot] gen  5/25  mejor=   14.76  medio=   -8.28
  [vs_humano_bot] gen  6/25  mejor=   52.95  medio=    9.87
  [vs_humano_bot] gen  7/25  mejor=   56.28  medio=   15.68
  [vs_humano_bot] gen  8/25  mejor=    1.94  medio=   -6.73
  [vs_humano_bot] gen  9/25  mejor=   62.83  medio=   12.70
  [vs_humano_bot] gen 10/25  mejor=   48.20  medio=   11.22
  [vs_humano_bot] gen 11/25  mejor=   32.23  medio=   -5.82
  [vs_humano_bot] gen 12/25  mejor=   64.95  medio=    4.38
  [vs_humano_bot] gen 13/25  mejor=   37.38  medio=    5.61
  [vs_humano_bot] gen 14/25  mejor=    7.04  medio=   -7.68
  [vs_humano_bot] gen 15/25  mejor=   48.05  medio=    9.38
  [vs_humano_bot] gen 16/25  mejor=   48.05  medio=   15.46
  [vs_humano_bot] gen 17/25  mejor=   12.34  medio=   -6.34
  [vs_humano_bot] gen 18/25  mejor=   38.36  medio=   -1.26
  [vs_humano_bot] gen 19/25  mejor=   44.27  medio=    1.39
  [vs_humano_bot] gen 20/25  mejor=   11.91  medio=   -8.13
  [vs_humano_bot] gen 21/25  mejor=   33.79  medio=   -2.87
  [vs_humano_bot] gen 22/25  mejor=   48.99  medio=   12.39
  [vs_humano_bot] gen 23/25  mejor=   27.99  medio=   -6.48
  [vs_humano_bot] gen 24/25  mejor=   62.02  medio=    8.10
  [vs_humano_bot] gen 25/25  mejor=   46.83  medio=   10.60
  [vs_escolta_D] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_escolta_D] gen  1/25  mejor=  172.89  medio=   92.11
  [vs_escolta_D] gen  2/25  mejor=  160.65  medio=   37.42
  [vs_escolta_D] gen  3/25  mejor=  224.35  medio=   67.35
  [vs_escolta_D] gen  4/25  mejor=  276.35  medio=   82.55
  [vs_escolta_D] gen  5/25  mejor=  214.80  medio=   53.71
  [vs_escolta_D] gen  6/25  mejor=  297.15  medio=   71.32
  [vs_escolta_D] gen  7/25  mejor=  307.97  medio=  129.91
  [vs_escolta_D] gen  8/25  mejor=  214.80  medio=   60.92
  [vs_escolta_D] gen  9/25  mejor=  297.15  medio=   67.75
  [vs_escolta_D] gen 10/25  mejor=  307.97  medio=  100.48
  [vs_escolta_D] gen 11/25  mejor=  214.80  medio=   57.11
  [vs_escolta_D] gen 12/25  mejor=  297.15  medio=   68.47
  [vs_escolta_D] gen 13/25  mejor=  307.97  medio=  104.26
  [vs_escolta_D] gen 14/25  mejor=  233.66  medio=   71.42
  [vs_escolta_D] gen 15/25  mejor=  211.34  medio=   80.77
  [vs_escolta_D] gen 16/25  mejor=  282.56  medio=  111.56
  [vs_escolta_D] gen 17/25  mejor=  206.16  medio=   67.04
  [vs_escolta_D] gen 18/25  mejor=  237.16  medio=   74.22
  [vs_escolta_D] gen 19/25  mejor=  282.56  medio=  118.92
  [vs_escolta_D] gen 20/25  mejor=  206.16  medio=   80.35
  [vs_escolta_D] gen 21/25  mejor=  237.16  medio=   68.41
  [vs_escolta_D] gen 22/25  mejor=  282.56  medio=  110.44
  [vs_escolta_D] gen 23/25  mejor=  206.16  medio=   80.25
  [vs_escolta_D] gen 24/25  mejor=  237.16  medio=   78.55
  [vs_escolta_D] gen 25/25  mejor=  282.56  medio=  108.77
  Entrenamiento terminado. Fitness del mejor: 282.56
  repeticion 1/5 completada (13 escenarios)
  repeticion 2/5 completada (13 escenarios)
  repeticion 3/5 completada (13 escenarios)
  repeticion 4/5 completada (13 escenarios)
  repeticion 5/5 completada (13 escenarios)

[2/16] Configuracion num_pobladores=10  (p10_m0.15_gaussiana_torneo_uniforme_aleatorio_deep)
  [vs_tipo_A] sensores congelados (IV.2 del PDF): escudo_objetivo
  [vs_tipo_A] gen  1/25  mejor=   49.40  medio=   24.85
  [vs_tipo_A] gen  2/25  mejor=   36.94  medio=   13.73
  [vs_tipo_A] gen  3/25  mejor=   34.65  medio=   13.38
  [vs_tipo_A] gen  4/25  mejor=   72.80  medio=   44.82
  [vs_tipo_A] gen  5/25  mejor=   48.95  medio=   29.87
  [vs_tipo_A] gen  6/25  mejor=   94.93  medio=   39.90
  [vs_tipo_A] gen  7/25  mejor=  121.68  medio=   50.04
  [vs_tipo_A] gen  8/25  mejor=   52.54  medio=   20.00
  [vs_tipo_A] gen  9/25  mejor=  217.22  medio=   66.56
  [vs_tipo_A] gen 10/25  mejor=  190.56  medio=   77.54
  [vs_tipo_A] gen 11/25  mejor=  130.15  medio=   51.28
  [vs_tipo_A] gen 12/25  mejor=  163.93  medio=   78.10
  [vs_tipo_A] gen 13/25  mejor=  127.01  medio=   43.05
  [vs_tipo_A] gen 14/25  mejor=  130.15  medio=   48.51
  [vs_tipo_A] gen 15/25  mejor=  181.91  medio=   61.23
  [vs_tipo_A] gen 16/25  mejor=  181.52  medio=   74.66
  [vs_tipo_A] gen 17/25  mejor=  111.33  medio=   54.93
  [vs_tipo_A] gen 18/25  mejor=  181.91  medio=   51.15
  [vs_tipo_A] gen 19/25  mejor=  113.63  medio=   51.91
  [vs_tipo_A] gen 20/25  mejor=  120.95  medio=   52.11
  [vs_tipo_A] gen 21/25  mejor=  181.91  medio=   79.47
  [vs_tipo_A] gen 22/25  mejor=  140.28  medio=   61.24
  [vs_tipo_A] gen 23/25  mejor=  158.72  medio=   61.51
  [vs_tipo_A] gen 24/25  mejor=  206.64  medio=   92.00
  [vs_tipo_A] gen 25/25  mejor=  136.39  medio=   81.59
  [vs_tipo_B] sin sensores congelados
  [vs_tipo_B] gen  1/25  mejor=  108.35  medio=   30.08
  [vs_tipo_B] gen  2/25  mejor=  194.66  medio=  102.56
